word,freq,pct_rank
abridged,0.149,0.123
abridgement,0.227,0.268
abridgements,0.325,0.375
abridger,1.0,0.79
abridgers,1.0,0.79
abridges,0.242,0.288
abridging,0.148,0.121
abridgment,0.226,0.266
abridgments,0.477,0.481
abris,1.0,0.79
abroach,1.0,0.79
abroad,0.107,0.029
abrogable,1.0,0.79
abrogate,0.175,0.181
abrogated,0.174,0.179
abrogates,0.313,0.364
abrogating,0.217,0.254
abrogation,0.191,0.211
abrogations,0.591,0.541
abrogator,1.0,0.79
abrogators,1.0,0.79
abrosia,1.0,0.79
abrosias,1.0,0.79
abrupt,0.144,0.111
abrupter,1.0,0.79
abruptest,1.0,0.79
abruption,0.383,0.422
abruptions,1.0,0.79
abruptly,0.137,0.094
abruptness,0.313,0.364
abruptnesses,1.0,0.79
abs,0.127,0.07
abscess,0.192,0.213
abscessed,0.25,0.298
abscesses,0.265,0.316
abscessing,0.591,0.541
abscise,1.0,0.79
abscised,1.0,0.79
abscises,1.0,0.79
abscisin,1.0,0.79
abscising,1.0,0.79
abscisins,1.0,0.79
abscissa,0.358,0.403
abscissae,1.0,0.79
abscissas,1.0,0.79
abscission,1.0,0.79
abscissions,1.0,0.79
abscond,0.221,0.26
absconded,0.229,0.271
absconder,1.0,0.79
absconders,1.0,0.79
absconding,0.287,0.339
absconds,0.383,0.422
abseil,0.325,0.375
abseiled,0.477,0.481
abseiling,1.0,0.79
abseils,1.0,0.79
absence,0.103,0.022
absences,0.202,0.231
absent,0.114,0.042
absented,1.0,0.79
absentee,0.12,0.054
absenteeism,0.195,0.219
absenteeisms,1.0,0.79
absentees,0.242,0.288
absenter,1.0,0.79
absenters,1.0,0.79
absenting,0.591,0.541
absently,0.325,0.375
absentminded,0.203,0.232
absentmindedly,0.204,0.234
absents,0.313,0.364
absinth,0.339,0.388
absinthe,0.15,0.126
absinthes,0.237,0.282
absinths,1.0,0.79
absolute,0.093,0.01
absolutely,0.083,0.003
absoluteness,0.239,0.285
absolutenesses,1.0,0.79
absoluter,1.0,0.79
absolutes,0.126,0.067
absolutest,1.0,0.79
absolution,0.17,0.171
absolutions,0.339,0.388
absolutism,0.146,0.116
absolutisms,0.419,0.446
absolutist,0.14,0.101
absolutistic,0.383,0.422
absolutists,0.208,0.24
absolutive,1.0,0.79
absolutize,1.0,0.79
absolutized,1.0,0.79
absolutizes,1.0,0.79
absolutizing,0.591,0.541
absolve,0.133,0.083
absolved,0.151,0.128
absolvent,1.0,0.79
absolvents,1.0,0.79
absolver,1.0,0.79
absolvers,1.0,0.79
absolves,0.161,0.151
absolving,0.175,0.181
absonant,1.0,0.79
absorb,0.114,0.042
absorbabilities,1.0,0.79
absorbability,0.591,0.541
absorbable,0.275,0.326
absorbance,0.254,0.302
absorbances,1.0,0.79
absorbancies,1.0,0.79
absorbancy,0.591,0.541
absorbant,0.27,0.321
absorbants,1.0,0.79
absorbed,0.117,0.048
absorbencies,0.591,0.541
absorbency,0.339,0.388
absorbent,0.179,0.189
absorbents,0.591,0.541
absorber,0.196,0.22
absorbers,0.192,0.213
absorbing,0.133,0.083
absorbingly,1.0,0.79
absorbs,0.14,0.101
absorptance,1.0,0.79
absorptances,1.0,0.79
absorption,0.137,0.094
absorptions,0.358,0.403
absorptive,0.281,0.332
absorptivities,1.0,0.79
absorptivity,1.0,0.79
abstain,0.129,0.074
abstained,0.158,0.144
abstainer,0.281,0.332
abstainers,0.257,0.306
abstaining,0.147,0.118
abstains,0.214,0.25
abstemious,0.313,0.364
abstemiously,1.0,0.79
abstemiousness,1.0,0.79
abstention,0.173,0.177
abstentions,0.201,0.229
abstentious,1.0,0.79
absterge,1.0,0.79
absterged,1.0,0.79
absterges,1.0,0.79
absterging,1.0,0.79
abstinence,0.112,0.038
abstinences,0.591,0.541
abstinent,0.17,0.171
abstinently,1.0,0.79
abstract,0.101,0.019
abstractable,0.477,0.481
abstracted,0.142,0.106
abstractedly,0.419,0.446
abstractedness,1.0,0.79
abstracter,0.419,0.446
abstracters,1.0,0.79
abstractest,1.0,0.79
abstracting,0.157,0.142
abstraction,0.11,0.034
abstractional,0.477,0.481
abstractionism,0.419,0.446
abstractionisms,1.0,0.79
abstractionist,0.591,0.541
abstractionists,0.477,0.481
abstractions,0.12,0.054
abstractive,0.477,0.481
abstractly,0.155,0.137
abstractness,0.247,0.295
abstractnesses,1.0,0.79
abstractor,1.0,0.79
abstractors,0.591,0.541
abstracts,0.152,0.13
abstrict,1.0,0.79
abstricted,1.0,0.79
abstricting,1.0,0.79
abstricts,1.0,0.79
abstruse,0.163,0.155
abstrusely,0.477,0.481
abstruseness,0.591,0.541
abstrusenesses,1.0,0.79
abstruser,1.0,0.79
abstrusest,1.0,0.79
abstrusities,1.0,0.79
abstrusity,1.0,0.79
absurd,0.096,0.013
absurder,0.591,0.541
absurdest,0.294,0.347
absurdism,0.193,0.215
absurdisms,1.0,0.79
absurdist,0.17,0.171
absurdists,0.313,0.364
absurdities,0.148,0.121
absurdity,0.116,0.046
absurdly,0.124,0.063
absurdness,0.294,0.347
absurdnesses,1.0,0.79
absurds,1.0,0.79
abubble,1.0,0.79
abuilding,1.0,0.79
abulia,0.591,0.541
abulias,1.0,0.79
abulic,0.477,0.481
abundance,0.12,0.054
abundances,0.325,0.375
abundant,0.123,0.061
abundantly,0.139,0.098
abusable,0.226,0.266
abuse,0.09,0.008
abused,0.102,0.021
abuser,0.13,0.077
abusers,0.126,0.067
abuses,0.109,0.032
abusing,0.109,0.032
abusive,0.108,0.031
abusively,0.208,0.24
abusiveness,0.275,0.326
abusivenesses,1.0,0.79
abut,0.161,0.151
abutilon,1.0,0.79
abutilons,1.0,0.79
abutment,0.303,0.355
abutments,0.477,0.481
abuts,0.325,0.375
abuttal,0.591,0.541
abuttals,1.0,0.79
abutted,0.477,0.481
abutter,0.477,0.481
